date,equity,cash,regime,active
2019-01-28,101738.88560525654,0.0,BULL,longbyungi
2019-01-29,102228.86030497965,102228.86030497965,NEUTRAL,longbyungi
2019-01-30,103764.49779700178,1.4551915228366852e-11,NEUTRAL,longbyungi
2019-01-31,102134.15257433786,0.0,BULL,longbyungi
2019-02-01,103964.97826363612,-1.4551915228366852e-11,NEUTRAL,longbyungi
2019-02-04,104112.39788523725,104112.39788523725,NEUTRAL,longbyungi
2019-02-05,103740.2850208278,0.0,BULL,longbyungi
2019-02-06,110232.61021943281,0.0,BULL,longbyungi
2019-02-07,106110.3447060414,106110.3447060414,BULL,longbyungi
2019-02-08,108981.96363868179,1.4551915228366852e-11,BULL,longbyungi
2019-02-11,110572.95162738873,110572.95162738873,NEUTRAL,longbyungi
2019-02-12,111517.51192665617,1.4551915228366852e-11,NEUTRAL,longbyungi
2019-02-13,113456.1974872371,113456.1974872371,BULL,longbyungi
2019-02-14,114192.0713101028,0.0,NEUTRAL,longbyungi
2019-02-15,117030.15045892794,117030.15045892794,BULL,longbyungi
2019-02-19,116506.66846240486,0.0,BULL,longbyungi
2019-02-20,117746.18984989215,0.0,BULL,longbyungi
2019-02-21,117955.12695973674,117955.12695973674,BULL,longbyungi
2019-02-22,117955.12695973674,117955.12695973674,NEUTRAL,longbyungi
2019-02-25,117955.12695973674,117955.12695973674,NEUTRAL,longbyungi
2019-02-26,117955.12695973674,117955.12695973674,BULL,longbyungi
2019-02-27,117955.12695973674,117955.12695973674,NEUTRAL,longbyungi
2019-02-28,117861.52520757382,0.0,NEUTRAL,longbyungi
2019-03-01,121292.17028150918,121292.17028150918,NEUTRAL,longbyungi
2019-03-04,121292.17028150918,121292.17028150918,BULL,longbyungi
2019-03-05,121292.17028150918,121292.17028150918,NEUTRAL,longbyungi
2019-03-06,121292.17028150918,121292.17028150918,NEUTRAL,longbyungi
2019-03-07,121292.17028150918,121292.17028150918,NEUTRAL,longbyungi
2019-03-08,125815.12329716649,0.0,NEUTRAL,longbyungi
2019-03-11,132570.66139537893,-1.4551915228366852e-11,NEUTRAL,longbyungi
2019-03-12,131910.4817702195,2.9103830456733704e-11,NEUTRAL,longbyungi
2019-03-13,131327.73201167345,0.0,NEUTRAL,longbyungi
2019-03-14,131307.62336364333,131307.62336364333,BULL,longbyungi
2019-03-15,135460.55027594298,0.0,BULL,longbyungi
2019-03-18,132361.7624413765,0.0,BULL,longbyungi
2019-03-19,135215.0374237284,0.0,BULL,longbyungi
2019-03-20,129202.26610408243,0.0,BULL,longbyungi
2019-03-21,140250.74655161216,-1.4551915228366852e-11,BULL,longbyungi
2019-03-22,138035.79634725006,138035.79634725006,BULL,longbyungi
2019-03-25,132898.63978705325,0.0,NEUTRAL,longbyungi
2019-03-26,138358.0193273148,138358.0193273148,NEUTRAL,longbyungi
2019-03-27,138358.0193273148,138358.0193273148,BULL,longbyungi
2019-03-28,134287.73181988407,0.0,NEUTRAL,longbyungi
2019-03-29,138155.5405054539,0.0,NEUTRAL,longbyungi
2019-04-01,145890.57843920722,0.0,BULL,longbyungi
2019-04-02,145539.54981143936,145539.54981143936,BULL,longbyungi
2019-04-03,147633.5062074773,0.0,BULL,longbyungi
2019-04-04,145755.2804438805,0.0,BULL,longbyungi
2019-04-05,148437.1380043622,148437.1380043622,BULL,longbyungi
2019-04-08,149201.21091348547,0.0,BULL,longbyungi
2019-04-09,146678.35686821662,146678.35686821662,BULL,longbyungi
2019-04-10,148114.30874109603,0.0,BULL,longbyungi
2019-04-11,148745.86546063688,148745.86546063688,BULL,longbyungi
2019-04-12,148745.86546063688,148745.86546063688,BULL,longbyungi
2019-04-15,148745.86546063688,148745.86546063688,BULL,longbyungi
2019-04-16,157431.70529319113,0.0,BULL,longbyungi
2019-04-17,161888.49644331328,0.0,BULL,longbyungi
2019-04-18,161905.09965604075,161905.09965604075,BULL,longbyungi
2019-04-22,161752.61291939588,0.0,BULL,longbyungi
2019-04-23,163865.57493745844,0.0,BULL,longbyungi
2019-04-24,165840.44605263832,0.0,BULL,longbyungi
2019-04-25,164320.13231111257,164320.13231111257,BULL,longbyungi
2019-04-26,167187.32149163444,0.0,BULL,longbyungi
2019-04-29,167614.28036899847,167614.28036899847,BULL,longbyungi
2019-04-30,169420.53038097732,2.9103830456733704e-11,BULL,longbyungi
2019-05-01,174641.54996853595,174641.54996853595,BULL,longbyungi
2019-05-02,178575.1490519796,0.0,BULL,longbyungi
2019-05-03,181623.79433738388,181623.79433738388,BULL,longbyungi
2019-05-06,188811.07297716424,0.0,BULL,longbyungi
2019-05-07,181642.26889403554,181642.26889403554,BULL,longbyungi
2019-05-08,178227.2895545388,0.0,BULL,longbyungi
2019-05-09,169056.43708666557,0.0,BULL,longbyungi
2019-05-10,166762.30673709975,0.0,NEUTRAL,longbyungi
2019-05-13,140867.13743331278,2.9103830456733704e-11,BULL,longbyungi
2019-05-14,147715.02033278608,43788.767111571404,BEAR,yangbyungi
2019-05-15,148538.5798533102,43185.60615332503,BEAR,yangbyungi
2019-05-16,140578.27385054438,2.9103830456733704e-11,BULL,longbyungi
2019-05-17,131232.58117387648,62933.0183269048,BEAR,yangbyungi
2019-05-20,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-21,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-22,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-23,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-24,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-28,125065.08301842082,125065.08301842082,BEAR,yangbyungi
2019-05-29,126783.97895734882,50026.033207368324,BEAR,yangbyungi
2019-05-30,127229.35153616277,70044.41470103645,BEAR,yangbyungi
2019-05-31,123393.22638519094,68351.98131877548,BEAR,yangbyungi
2019-06-03,122758.10610980817,77709.2053284379,BEAR,yangbyungi
2019-06-04,131570.6840456837,-1.4551915228366852e-11,NEUTRAL,longbyungi
2019-06-05,135786.34619452624,135786.34619452624,NEUTRAL,longbyungi
2019-06-06,139265.5859244876,0.0,BULL,longbyungi
2019-06-07,141269.14860996688,0.0,BULL,longbyungi
2019-06-10,149778.72277533225,0.0,BULL,longbyungi
2019-06-11,158070.47581604242,158070.47581604242,BULL,longbyungi
2019-06-12,158070.47581604242,158070.47581604242,BULL,longbyungi
2019-06-13,158070.47581604242,158070.47581604242,BULL,longbyungi
2019-06-14,157236.66833919444,0.0,BULL,longbyungi
2019-06-17,157429.6385425596,157429.6385425596,BEAR,yangbyungi
2019-06-18,164349.52257642007,62971.85541702385,BEAR,yangbyungi
2019-06-19,165936.3506454231,165936.3506454231,NEUTRAL,longbyungi
2019-06-20,165936.3506454231,165936.3506454231,NEUTRAL,longbyungi
2019-06-21,162342.12180995473,0.0,BULL,longbyungi
2019-06-24,163266.77331914034,163266.77331914034,BULL,longbyungi
2019-06-25,153487.53697964552,0.0,BULL,longbyungi
2019-06-26,165149.04322564352,0.0,BULL,longbyungi
2019-06-27,169598.1741372434,0.0,BULL,longbyungi
2019-06-28,174284.7818969445,174284.7818969445,BULL,longbyungi
2019-07-01,160149.68431608478,160149.68431608478,BULL,longbyungi
2019-07-02,160149.68431608478,160149.68431608478,BULL,longbyungi
2019-07-03,160149.68431608478,160149.68431608478,BULL,longbyungi
2019-07-05,160365.3266331802,2.9103830456733704e-11,BULL,longbyungi
2019-07-08,155813.23731337936,155813.23731337936,BULL,longbyungi
2019-07-09,159256.3089363879,0.0,BULL,longbyungi
2019-07-10,159926.76281917124,0.0,BULL,longbyungi
2019-07-11,162172.33943444132,162172.33943444132,BULL,longbyungi
2019-07-12,166969.17767666825,2.9103830456733704e-11,BULL,longbyungi
2019-07-15,168045.15654432276,2.9103830456733704e-11,BULL,longbyungi
2019-07-16,165474.41478988947,165474.41478988947,BULL,longbyungi
2019-07-17,165474.41478988947,165474.41478988947,BULL,longbyungi
2019-07-18,169649.9511919035,0.0,BULL,longbyungi
2019-07-19,171797.20390159235,171797.20390159235,BULL,longbyungi
2019-07-22,175939.83511793969,0.0,BULL,longbyungi
2019-07-23,179631.47143846998,0.0,BULL,longbyungi
2019-07-24,192779.5793149175,2.9103830456733704e-11,BULL,longbyungi
2019-07-25,189039.20213335723,189039.20213335723,BULL,longbyungi
2019-07-26,189039.20213335723,189039.20213335723,BULL,longbyungi
2019-07-29,189060.7668732267,0.0,BULL,longbyungi
2019-07-30,184691.48110877082,0.0,BULL,longbyungi
2019-07-31,181573.76157236472,181573.76157236472,BULL,longbyungi
2019-08-01,166847.50257250122,166847.50257250122,BULL,longbyungi
2019-08-02,161696.81173452362,0.0,BULL,longbyungi
2019-08-05,147357.4199482938,147357.4199482938,BULL,longbyungi
2019-08-06,147357.4199482938,147357.4199482938,BEAR,yangbyungi
2019-08-07,155088.81145733135,0.0,NEUTRAL,longbyungi
2019-08-08,165005.3101307852,0.0,NEUTRAL,longbyungi
2019-08-09,159550.6381430919,159550.6381430919,NEUTRAL,longbyungi
2019-08-12,155277.8524761354,2.9103830456733704e-11,NEUTRAL,longbyungi
2019-08-13,166206.52213680433,0.0,NEUTRAL,longbyungi
2019-08-14,148144.93804604144,0.0,BULL,longbyungi
2019-08-15,151965.22182897912,151965.22182897912,NEUTRAL,longbyungi
2019-08-16,153876.3920147987,60786.08873159165,BEAR,yangbyungi
2019-08-19,160292.41095482814,160292.41095482814,NEUTRAL,longbyungi
2019-08-20,160292.41095482814,160292.41095482814,BULL,longbyungi
2019-08-21,160292.41095482814,160292.41095482814,NEUTRAL,longbyungi
2019-08-22,160292.41095482814,160292.41095482814,BULL,longbyungi
2019-08-23,147292.14297011384,147292.14297011384,BULL,longbyungi
2019-08-26,147292.14297011384,147292.14297011384,BEAR,yangbyungi
2019-08-27,147292.14297011384,147292.14297011384,BEAR,yangbyungi
2019-08-28,148649.43769541214,73646.07148505692,BEAR,yangbyungi
2019-08-29,152394.6176783385,75949.82940151378,BEAR,yangbyungi
2019-08-30,150441.66181568033,0.0,NEUTRAL,longbyungi
2019-09-03,145521.62055683404,145521.62055683404,NEUTRAL,longbyungi
2019-09-04,147816.79925476704,0.0,NEUTRAL,longbyungi
2019-09-05,158962.76211860037,0.0,BULL,longbyungi
2019-09-06,159613.8519600718,159613.8519600718,BULL,longbyungi
2019-09-09,156317.28868533665,0.0,BULL,longbyungi
2019-09-10,155770.72222618747,0.0,BULL,longbyungi
2019-09-11,160072.5344729396,0.0,BULL,longbyungi
2019-09-12,164002.18737910027,164002.18737910027,BULL,longbyungi
2019-09-13,164002.18737910027,164002.18737910027,BULL,longbyungi
2019-09-16,162665.37154842817,0.0,BULL,longbyungi
2019-09-17,161446.2291356108,0.0,BULL,longbyungi
2019-09-18,160724.97814958022,160724.97814958022,BULL,longbyungi
2019-09-19,160724.97814958022,160724.97814958022,BULL,longbyungi
2019-09-20,160724.97814958022,160724.97814958022,BULL,longbyungi
2019-09-23,164021.71007871153,0.0,NEUTRAL,longbyungi
2019-09-24,167295.00150351244,167295.00150351244,BULL,longbyungi
2019-09-25,175991.5063274173,2.9103830456733704e-11,NEUTRAL,longbyungi
2019-09-26,176010.44374835197,176010.44374835197,BULL,longbyungi
2019-09-27,176010.44374835197,176010.44374835197,BULL,longbyungi
2019-09-30,175551.53113073946,2.9103830456733704e-11,NEUTRAL,longbyungi
