window,from,to,years,CHAMP_CAGR_%,CHAMP_MDD_%,CHAMP_Sharpe,CHAMP_Calmar,CHAMP_Final_$
16y_full,2010-05-25,2026-09-25,16.33675564681725,55.92177808154075,-48.18871689827697,1.575472106020239,1.1604745193690824,137821599.13352716
15.4y_VIX9D,2011-01-03,2026-09-25,15.72621492128679,57.71232166953067,-48.18871689827697,1.600868239098529,1.1976314246207749,137821599.13352716
10y,2016-09-26,2026-09-25,9.995893223819301,67.68612059133794,-48.18871689827697,1.6461012937478303,1.4046051637817756,137821599.13352716
8y,2018-09-25,2026-09-25,8.0,65.31697418577878,-48.18871689827697,1.5443457893203651,1.3554412399827611,137821599.13352716
5y,2021-09-27,2026-09-25,4.993839835728953,64.37432408851807,-48.18871689827697,1.417681016226011,1.335879604854551,137821599.13352716
4y,2022-09-26,2026-09-25,3.997262149212868,83.86981646674197,-48.18871689827697,1.6288551656063146,1.7404451055168226,137821599.13352716
3y,2023-09-25,2026-09-25,3.0006844626967832,86.12431224050727,-48.18871689827697,1.6078497967996686,1.7872298285573716,137821599.13352716
2y,2024-09-25,2026-09-25,1.998631074606434,69.690054672586,-48.18871689827697,1.4172430831801772,1.4461902942901936,137821599.13352716
1y,2025-09-25,2026-09-25,0.999315537303217,100.12488764275487,-48.18871689827697,1.5749792065139372,2.077766209341318,137821599.13352716
