date,strategy,leg,ticker,action,qty,price,pnl,side
2010-05-25,yangbyungi,SHORT,SOXS,STOP_BUY,3.343328516388825e-06,4146757142.3999996,0.0,
2010-05-25,yangbyungi,SHORT,SOXS,LOC_SELL,8.358321290972062e-07,3670164000.0,-400.63863276982283,loser
2010-05-26,yangbyungi,SHORT,SOXS,MOO_SELL,2.507496387291619e-06,3487855200.0,-1658.8945571508593,
2010-05-26,yangbyungi,LONG,SOXL,STOP_BUY,28463.276922080946,0.5893325083726643,0.0,
2010-05-26,yangbyungi,LONG,SOXL,LOC_SELL,7115.8192305202365,0.5493921672701836,-287.044282921393,loser
2010-05-26,yangbyungi,SHORT,SOXS,STOP_BUY,3.6260741154938208e-06,3700825488.0,0.0,
2010-05-26,yangbyungi,SHORT,SOXS,LOC_SELL,9.065185288734552e-07,3687435360.0,-14.482557510189054,loser
2010-05-27,yangbyungi,LONG,SOXL,MOO_SELL,21347.45769156071,0.5920368522703648,48.904135584041796,
2010-05-27,yangbyungi,SHORT,SOXS,MOO_SELL,2.7195555866203655e-06,3429324480.0,-745.14887679208,
2010-05-27,yangbyungi,LONG,SOXL,STOP_BUY,32568.772091310148,0.6015186230684816,0.0,
2010-05-28,yangbyungi,LONG,SOXL,MOO_SELL,32568.772091310148,0.6403466877639294,1250.426279915875,
2010-06-01,yangbyungi,LONG,SOXL,STOP_BUY,27242.87667967083,0.6082889692568778,0.0,
2010-06-01,yangbyungi,LONG,SOXL,LOC_SELL,6810.719169917707,0.5615521075129509,-321.10025088771636,loser
2010-06-02,yangbyungi,LONG,SOXL,MOO_SELL,20432.157509753124,0.5815420884490013,-555.0052670144905,
2010-06-02,yangbyungi,LONG,SOXL,STOP_BUY,32743.964281164353,0.5908557802757619,0.0,
2010-06-03,yangbyungi,LONG,SOXL,MOO_SELL,32743.964281164353,0.6326835162043571,1355.5836567507067,
2010-06-03,yangbyungi,LONG,SOXL,STOP_BUY,31251.88797646371,0.642816263963878,0.0,
2010-06-04,yangbyungi,LONG,SOXL,MOO_SELL,31251.88797646371,0.6286855081021786,-455.5206900424637,
2010-06-07,yangbyungi,SHORT,SOXS,STOP_BUY,3.662548571572909e-06,3518584012.7999997,0.0,
2010-06-08,yangbyungi,SHORT,SOXS,MOO_SELL,3.662548571572909e-06,3518559840.0,-9.109392462218239,
2010-06-09,yangbyungi,LONG,SOXL,STOP_BUY,33918.649436054984,0.5148623320381343,0.0,
2010-06-09,yangbyungi,LONG,SOXL,LOC_SELL,8479.662359013746,0.48342515273392206,-269.5394653023277,loser
2010-06-09,yangbyungi,SHORT,SOXS,STOP_BUY,3.60258713524283e-06,3877976419.2,0.0,
2010-06-10,yangbyungi,LONG,SOXL,MOO_SELL,25438.987077041238,0.5090783479809762,-156.2555004881906,
2010-06-10,yangbyungi,SHORT,SOXS,MOO_SELL,3.60258713524283e-06,3678799680.0,-727.0799388071482,
2010-06-10,yangbyungi,LONG,SOXL,STOP_BUY,36816.05195076813,0.5172314962103962,0.0,
2010-06-11,yangbyungi,LONG,SOXL,MOO_SELL,36816.05195076813,0.5177410066723824,5.421903136128094,
2010-06-11,yangbyungi,LONG,SOXL,STOP_BUY,38440.34643445989,0.5260328917792438,0.0,
2010-06-14,yangbyungi,LONG,SOXL,MOO_SELL,38440.34643445989,0.586539583683014,2310.9295133974774,
2010-06-14,longbyungi,LONG,SOXL,STOP_BUY,69989.19409096251,0.5959333129334449,0.0,
2010-06-15,longbyungi,LONG,SOXL,MOO_SELL,69989.19409096251,0.5830413489341736,-931.1785908119273,
2010-06-15,longbyungi,LONG,SOXL,STOP_BUY,77055.9039158286,0.5923790521788596,0.0,
2010-06-16,longbyungi,LONG,SOXL,MOO_SELL,77055.9039158286,0.651007307946682,4484.119652234323,
2010-06-16,longbyungi,LONG,SOXL,STOP_BUY,72015.56299146503,0.6614335205349325,0.0,
2010-06-17,longbyungi,LONG,SOXL,MOO_SELL,72015.56299146503,0.6876560233533383,1854.4238984526237,
2010-06-21,longbyungi,LONG,SOXL,STOP,71510.17137537598,0.6496137087417806,-4098.676997313698,
2010-06-22,longbyungi,LONG,SOXL,STOP,67502.45948814203,0.608214579472692,-3622.405942357953,
2010-06-23,yangbyungi,LONG,SOXL,STOP_BUY,41230.83383103847,0.629614654842317,0.0,
2010-06-23,yangbyungi,LONG,SOXL,LOC_SELL,10307.708457759618,0.6190233622789383,-113.67666476156228,loser
2010-06-24,yangbyungi,LONG,SOXL,MOO_SELL,30923.125373278854,0.6081957538127899,-675.7363001532394,
2010-06-24,yangbyungi,SHORT,SOXS,STOP_BUY,4.9516025898298264e-06,3136793212.7999997,0.0,
2010-06-25,yangbyungi,SHORT,SOXS,MOO_SELL,4.9516025898298264e-06,3076221120.0,-310.6964638312238,
2010-06-25,yangbyungi,SHORT,SOXS,STOP_BUY,4.944350288141389e-06,3264056812.7999997,0.0,
2010-06-25,yangbyungi,SHORT,SOXS,LOC_SELL,1.2360875720353472e-06,3138589920.0,-157.85804811106254,loser
2010-06-28,yangbyungi,SHORT,SOXS,MOO_SELL,3.7082627161060417e-06,3107885280.0,-587.3951647515423,
2010-06-28,yangbyungi,LONG,SOXL,STOP_BUY,34535.180096132885,0.5702074743242561,0.0,
2010-06-29,yangbyungi,LONG,SOXL,MOO_SELL,34535.180096132885,0.544394672036171,-904.9223208559233,
2010-06-30,yangbyungi,LONG,SOXL,STOP_BUY,32350.024271584563,0.5062304780969022,0.0,
2010-06-30,yangbyungi,LONG,SOXL,LOC_SELL,8087.506067896141,0.47143115821480747,-284.20710625070797,loser
2010-07-01,yangbyungi,LONG,SOXL,MOO_SELL,24262.51820368842,0.4747624940425158,-771.8230118984065,
2010-07-01,yangbyungi,LONG,SOXL,STOP_BUY,35286.64665479843,0.48236605644710356,0.0,
2010-07-01,yangbyungi,LONG,SOXL,LOC_SELL,8821.661663699608,0.4732632633447647,-83.25234443078261,loser
2010-07-01,yangbyungi,SHORT,SOXS,STOP_BUY,3.521502194337019e-06,3866777222.3999996,0.0,
2010-07-01,yangbyungi,SHORT,SOXS,LOC_SELL,8.803755485842547e-07,3657690240.0,-186.39359184173145,loser
2010-07-02,yangbyungi,LONG,SOXL,MOO_SELL,26464.984991098823,0.4742627504765987,-223.3148793437431,
2010-07-02,yangbyungi,SHORT,SOXS,MOO_SELL,2.641126645752764e-06,3548304960.0,-847.9800380541401,
2010-07-02,yangbyungi,SHORT,SOXS,STOP_BUY,3.889002123997403e-06,3764966342.3999996,0.0,
2010-07-02,yangbyungi,SHORT,SOXS,LOC_SELL,9.722505309993508e-07,3702787680.0,-62.99442227000691,loser
2010-07-06,yangbyungi,SHORT,SOXS,MOO_SELL,2.9167515929980525e-06,3488814720.0,-812.8708016583514,
2010-07-06,yangbyungi,LONG,SOXL,STOP_BUY,36585.41223059367,0.5033535667117685,0.0,
2010-07-06,yangbyungi,LONG,SOXL,LOC_SELL,9146.353057648417,0.4665995789170265,-339.26998551896486,loser
2010-07-07,yangbyungi,LONG,SOXL,MOO_SELL,27439.05917294525,0.4667665076255798,-1013.2311929735861,
2010-07-07,yangbyungi,LONG,SOXL,STOP_BUY,42259.32288352404,0.47424201024770724,0.0,
2010-07-08,yangbyungi,LONG,SOXL,MOO_SELL,42259.32288352404,0.5598869310915471,3604.0008071813463,
2010-07-08,yangbyungi,SHORT,SOXS,STOP_BUY,5.437375502488856e-06,3201952176.0,0.0,
2010-07-08,yangbyungi,SHORT,SOXS,LOC_SELL,1.359343875622214e-06,3144347040.0,-81.3245698662331,loser
2010-07-09,yangbyungi,SHORT,SOXS,MOO_SELL,4.078031626866642e-06,3149144640.0,-224.41579273322714,
2010-07-09,yangbyungi,LONG,SOXL,STOP_BUY,40825.287184709196,0.5468507998873293,0.0,
2010-07-12,yangbyungi,LONG,SOXL,MOO_SELL,40825.287184709196,0.5570543260574341,400.7883508642444,
2010-07-12,yangbyungi,LONG,SOXL,STOP_BUY,40507.659680434714,0.5659758339357376,0.0,
2010-07-13,yangbyungi,LONG,SOXL,MOO_SELL,40507.659680434714,0.5963686582148076,1214.6628333320114,
2010-07-13,longbyungi,LONG,SOXL,STOP_BUY,76253.13485051261,0.6059198050846158,0.0,
2010-07-14,longbyungi,LONG,SOXL,MOO_SELL,76253.13485051261,0.6396799857020379,2541.0762941121284,
2010-07-19,yangbyungi,LONG,SOXL,STOP_BUY,39484.65403974634,0.5681764249438047,0.0,
2010-07-20,yangbyungi,LONG,SOXL,MOO_SELL,39484.65403974634,0.5392302480936051,-1158.233727981613,
2010-07-22,yangbyungi,LONG,SOXL,STOP_BUY,41222.387565813246,0.5669913283614814,0.0,
2010-07-23,yangbyungi,LONG,SOXL,MOO_SELL,41222.387565813246,0.5947025285959244,1125.5611079365517,
2010-07-23,longbyungi,LONG,SOXL,STOP_BUY,82139.90187193526,0.6042269915539025,0.0,
2010-07-26,longbyungi,LONG,SOXL,MOO_SELL,82139.90187193526,0.6113611439168454,551.0516734740813,
2010-07-26,longbyungi,LONG,SOXL,STOP_BUY,82971.19978562066,0.6211524030576645,0.0,
2010-07-27,longbyungi,LONG,SOXL,MOO_SELL,82971.19978562066,0.6468434434831143,2094.793949991712,
2010-07-28,longbyungi,LONG,SOXL,STOP_BUY,79330.73620144067,0.6219983558557927,0.0,
2010-07-29,longbyungi,LONG,SOXL,MOO_SELL,79330.73620144067,0.5945355998873711,-2212.4186361084867,
2010-08-02,yangbyungi,LONG,SOXL,STOP_BUY,55870.7211565218,0.5708847934292255,0.0,
2010-08-02,yangbyungi,LONG,SOXL,LOC_SELL,13967.68028913045,0.563218237131834,-112.62828327161697,loser
2010-08-03,yangbyungi,LONG,SOXL,MOO_SELL,41903.04086739135,0.5633851658403873,-330.8924775055748,
2010-08-04,longbyungi,LONG,SOXL,STOP_BUY,94177.28825986822,0.5568362630461156,0.0,
2010-08-05,longbyungi,LONG,SOXL,MOO_SELL,94177.28825986822,0.5590533598959446,172.0181585862956,
2010-08-06,longbyungi,LONG,SOXL,STOP_BUY,98083.08142234638,0.5471889752081036,0.0,
2010-08-09,longbyungi,LONG,SOXL,MOO_SELL,98083.08142234638,0.5533901753723621,570.4509525738977,
2010-08-09,longbyungi,LONG,SOXL,STOP_BUY,94280.35723120783,0.5622530000169574,0.0,
2010-08-10,longbyungi,LONG,SOXL,MOO_SELL,94280.35723120783,0.5413961510658264,-2002.8095225076759,
2010-08-13,yangbyungi,LONG,SOXL,STOP_BUY,59143.68678243319,0.44445413340657935,0.0,
2010-08-13,yangbyungi,LONG,SOXL,LOC_SELL,14785.921695608298,0.4221218355894089,-334.68820035499175,loser
