crisis,from,to,CHAMP_ret_%,CHAMP_mdd_%
2011 Euro/Debt Aug,2011-07-22,2011-10-04,-13.600264146792874,-15.516358597810964
2015-2016 Aug crash,2015-08-17,2016-02-11,3.113999151603708,-10.572644515285411
2018 Q4 selloff,2018-09-20,2018-12-24,-10.609457063172078,-12.20735887330261
2020 Covid panic,2020-02-19,2020-04-30,-1.5088578954886245,-11.998884397545096
2020 Covid recovery,2020-04-30,2020-12-31,27.969499385725747,-11.08971747927966
2022 bear,2022-01-03,2022-10-13,-21.573121347780322,-23.111121232716968
2024-08 carry unwind,2024-07-10,2024-09-15,-5.826623984556722,-14.296846030500909
2025 tariff,2025-02-19,2025-04-30,-4.755027096030395,-16.700749669455472
