spec,cal_p05,cal_p50,cal_p95,cagr_p50,mdd_p50,p_mdd_under_30p,p_mdd_under_40p,p_cal_over_2,p_cal_over_3,n_paths_total
T1_None,1.5437609717938598,3.1737558115180775,6.090080906629475,1.3808531454592088,-0.43180385121276543,0.9831666666666666,0.665,0.8638333333333333,0.5558333333333333,6000
T1_bm60,1.6721045509325745,3.426084060661606,6.484522712378545,1.471978669172746,-0.4267325462583828,0.981,0.6396666666666667,0.8993333333333333,0.6326666666666667,6000
T1_bm45,1.5312383358537047,3.160137509115139,6.069680469976079,1.3760146327288452,-0.43155260268921264,0.983,0.6635,0.8623333333333333,0.5518333333333333,6000
T1_bm30,1.5672197046038043,3.227099058856309,6.122399006873588,1.3828585064252206,-0.4277331859343156,0.981,0.6446666666666667,0.8685,0.5666666666666667,6000
T2GE_None,2.676766067205137,5.021779445234725,8.89738735986273,1.8346564400177154,-0.3627500888223077,0.8796666666666667,0.294,0.99,0.915,6000
T2GE_bm90,2.7316913458609253,5.082183519124724,8.977891610088363,1.8500890696370496,-0.36124093420539444,0.8713333333333333,0.2881666666666667,0.9911666666666666,0.9211666666666667,6000
T2GE_bm60,2.525289974936064,4.793154485483581,8.549897750892773,1.7769207514389056,-0.3682290738034587,0.8951666666666667,0.3233333333333333,0.9851666666666666,0.89,6000
