tier,bear_max,underwater_pct,longest_underwater_days,n_underwater_spells,mdd,worst_day_pct
T1,None,0.8403193612774451,246,128,-0.3398643239671675,-0.15506376719742632
T1,60,0.8333333333333334,156,132,-0.3398643239671675,-0.15506376719742632
T2GE,None,0.8213572854291418,133,153,-0.2907535862591706,-0.143509973562591
T2GE,90,0.8158682634730539,116,156,-0.2907535862591707,-0.143509973562591
