date,strategy,leg,ticker,action,qty,price,pnl,side,regime,VIX,VVIX,NDX_SPY_RS_20d,SOXL_5d_ret,vix_scale,vvix_scale,ndx_scale,k_final,vvix_gate_active
2010-06-01,yangbyungi,LONG,SOXL,STOP_BUY,30056.19533183428,0.6082889692568778,0.0,,BEAR,35.540000915527344,109.91999816894531,0.010936306433583454,0.03979037389125084,0.56274618696653,1.0,1.0,0.3657850215282445,False
2010-06-01,yangbyungi,LONG,SOXL,LOC_SELL,7514.04883295857,0.5615521075129509,-354.2596464852777,loser,BEAR,35.540000915527344,109.91999816894531,0.010936306433583454,0.03979037389125084,0.56274618696653,1.0,1.0,0.3657850215282445,False
2010-06-02,yangbyungi,LONG,SOXL,MOO_SELL,22542.146498875707,0.5815420884490013,-612.319576663218,,BEAR,30.170000076293945,98.0199966430664,0.01681552899832628,0.12548962113238682,0.6629101739948282,1.0,1.0,0.43089161309663837,False
2010-06-02,yangbyungi,LONG,SOXL,STOP_BUY,36098.26766865989,0.5908557802757619,0.0,,BEAR,30.170000076293945,98.0199966430664,0.01681552899832628,0.12548962113238682,0.6629101739948282,1.0,1.0,0.43089161309663837,False
2010-06-03,yangbyungi,LONG,SOXL,MOO_SELL,36098.26766865989,0.6326835162043571,1494.4501303648394,,BEAR,29.459999084472656,95.61000061035156,0.02145785497594166,0.1746512262898181,0.6788866470312046,1.0,1.0,0.441276320570283,False
2010-06-03,yangbyungi,LONG,SOXL,STOP_BUY,34492.78643665049,0.642816263963878,0.0,,BEAR,29.459999084472656,95.61000061035156,0.02145785497594166,0.1746512262898181,0.6788866470312046,1.0,1.0,0.441276320570283,False
2010-06-04,yangbyungi,LONG,SOXL,MOO_SELL,34492.78643665049,0.6286855081021786,-502.75931780324026,,NEUTRAL,35.47999954223633,103.30999755859375,0.022839604086941856,-0.11315690036247483,0.563697865220981,0.871164477077402,1.0,0.31919781139017445,True
2010-06-09,yangbyungi,LONG,SOXL,STOP_BUY,30135.627673676823,0.5148623320381343,0.0,,BEAR,33.72999954223633,111.7699966430664,0.0012848378685668127,-0.222191543893978,0.5929439748422238,0.8052250398415226,1.0,0.3103446682479783,True
2010-06-09,yangbyungi,LONG,SOXL,LOC_SELL,7533.906918419206,0.48342515273392206,-239.47713440142252,loser,BEAR,33.72999954223633,111.7699966430664,0.0012848378685668127,-0.222191543893978,0.5929439748422238,0.8052250398415226,1.0,0.3103446682479783,True
2010-06-10,yangbyungi,LONG,SOXL,MOO_SELL,22601.72075525762,0.5090783479809762,-138.82797997465786,,BEAR,30.56999969482422,108.61000061035156,-0.003202150585572494,-0.16856061322899296,0.654236185791856,0.828652973890345,0.8,0.2819100757112109,True
2010-06-11,yangbyungi,LONG,SOXL,STOP_BUY,37108.705992586714,0.5260328917792438,0.0,,BEAR,28.790000915527344,103.69000244140625,0.004059762993302574,-0.003265341987002568,0.6946856326500975,0.8679718186992784,1.0,0.3919289087971166,True
2010-06-14,yangbyungi,LONG,SOXL,MOO_SELL,37108.705992586714,0.586539583683014,2230.874896730449,,NEUTRAL,28.579999923706055,99.91999816894531,0.006393170608861354,0.14328657613848161,0.6997900648491863,1.0,1.0,0.4548635421519711,False
2010-06-14,longbyungi,LONG,SOXL,STOP_BUY,77733.91506950122,0.5959333129334449,0.0,,NEUTRAL,28.579999923706055,99.91999816894531,0.006393170608861354,0.14328657613848161,0.6997900648491863,1.0,1.0,0.4548635421519711,False
2010-06-15,longbyungi,LONG,SOXL,MOO_SELL,77733.91506950122,0.5830413489341736,-1034.2190452805735,,NEUTRAL,25.8700008392334,99.0,0.007865754669410752,0.34853088740507343,0.7730962254036269,1.0,1.0,0.5025125465123574,False
2010-06-15,longbyungi,LONG,SOXL,STOP_BUY,85515.13559644012,0.5923790521788596,0.0,,NEUTRAL,25.8700008392334,99.0,0.007865754669410752,0.34853088740507343,0.7730962254036269,1.0,1.0,0.5025125465123574,False
2010-06-16,longbyungi,LONG,SOXL,MOO_SELL,85515.13559644012,0.651007307946682,4976.3883181533965,,NEUTRAL,25.920000076293945,93.66999816894531,0.013639132666618092,0.39489983807552465,0.7716049360004327,1.0,1.0,0.5015432084002812,False
2010-06-16,longbyungi,LONG,SOXL,STOP_BUY,80211.62615321887,0.6614335205349325,0.0,,NEUTRAL,25.920000076293945,93.66999816894531,0.013639132666618092,0.39489983807552465,0.7716049360004327,1.0,1.0,0.5015432084002812,False
2010-06-17,longbyungi,LONG,SOXL,MOO_SELL,80211.62615321887,0.6876560233533383,2065.475159722133,,NEUTRAL,25.049999237060547,89.6500015258789,0.016416797628179713,0.24868076756916047,0.7984032179294737,1.0,1.0,0.5189620916541579,False
2010-06-21,longbyungi,LONG,SOXL,STOP,79766.18776808276,0.6496137087417806,-4571.878834582458,,NEUTRAL,24.8799991607666,96.01000213623047,0.018615234414856907,0.13613846748887992,0.803858548015472,1.0,1.0,0.5225080562100568,False
2010-06-22,longbyungi,LONG,SOXL,STOP,66440.0406782417,0.608214579472692,-3565.3930240222617,,NEUTRAL,27.049999237060547,101.6500015258789,0.01836465241002916,-0.07738537032397974,0.7393715550497497,0.8853910344220413,1.0,0.42551141486602523,True
2010-06-23,yangbyungi,LONG,SOXL,STOP_BUY,41761.20613722798,0.629614654842317,0.0,,BEAR,26.90999984741211,98.93000030517578,0.01902532273437796,-0.08201671626748364,0.7432181387367555,0.9097341526571431,1.0,0.43948510039401584,True
2010-06-23,yangbyungi,LONG,SOXL,LOC_SELL,10440.301534306995,0.6190233622789383,-115.13894309181887,loser,BEAR,26.90999984741211,98.93000030517578,0.01902532273437796,-0.08201671626748364,0.7432181387367555,0.9097341526571431,1.0,0.43948510039401584,True
2010-06-24,yangbyungi,LONG,SOXL,MOO_SELL,31320.904602920986,0.6081957538127899,-684.4286254493236,,BEAR,29.739999771118164,103.69000244140625,0.024396208624131166,-0.1566385881535315,0.6724949614634123,0.8679718186992784,1.0,0.37940933859887443,True
2010-06-28,yangbyungi,LONG,SOXL,STOP_BUY,35342.97237114497,0.5702074743242561,0.0,,BEAR,29.0,99.01000213623047,0.008112100714813053,-0.1146834438708465,0.6896551724137931,0.9089990713884304,1.0,0.4074823423465378,True
2010-06-29,yangbyungi,LONG,SOXL,MOO_SELL,35342.97237114497,0.544394672036171,-926.0888315918965,,BEAR,34.130001068115234,104.0,-0.008053907352345457,-0.19272476799087024,0.5859947077084713,0.8653846153846154,0.8,0.2636976184688121,True
2010-06-30,yangbyungi,LONG,SOXL,STOP_BUY,24940.087415385853,0.5062304780969022,0.0,,BEAR,34.540000915527344,105.16000366210938,-0.010988833131378217,-0.23842751834239218,0.5790387802511339,0.8558386921436393,0.8,0.2576931720431009,True
2010-06-30,yangbyungi,LONG,SOXL,LOC_SELL,6235.021853846463,0.47143115821480747,-219.1080295476795,loser,BEAR,34.540000915527344,105.16000366210938,-0.010988833131378217,-0.23842751834239218,0.5790387802511339,0.8558386921436393,0.8,0.2576931720431009,True
2010-07-01,yangbyungi,LONG,SOXL,MOO_SELL,18705.06556153939,0.4747624940425158,-595.033043077523,,BEAR,32.86000061035156,100.69000244140625,-0.014278870672899346,-0.1624405332622577,0.6086427154143021,0.8938325336954183,0.8,0.28289282342569305,True
2010-07-01,yangbyungi,LONG,SOXL,STOP_BUY,28494.849816526974,0.48236605644710356,0.0,,BEAR,32.86000061035156,100.69000244140625,-0.014278870672899346,-0.1624405332622577,0.6086427154143021,0.8938325336954183,0.8,0.28289282342569305,True
2010-07-01,yangbyungi,LONG,SOXL,LOC_SELL,7123.7124541317435,0.4732632633447647,-67.228350560943,loser,BEAR,32.86000061035156,100.69000244140625,-0.014278870672899346,-0.1624405332622577,0.6086427154143021,0.8938325336954183,0.8,0.28289282342569305,True
2010-07-02,yangbyungi,LONG,SOXL,MOO_SELL,21371.13736239523,0.4742627504765987,-180.33235095833334,,BEAR,30.1200008392334,97.19000244140625,-0.013956893465483566,-0.1754332911949925,0.6640106056686628,0.9260211723346653,0.8,0.31974169734205204,True
2010-07-07,yangbyungi,LONG,SOXL,STOP_BUY,49496.50870849878,0.47424201024770724,0.0,,BEAR,26.84000015258789,92.13999938964844,0.0014601803367144672,0.08977794078521151,0.7451564786251171,1.0,1.0,0.48435171110632613,False
2010-07-08,yangbyungi,LONG,SOXL,MOO_SELL,49496.50870849878,0.5598869310915471,4221.209550133059,,BEAR,25.709999084472656,89.8499984741211,0.0004286270424747052,0.13674909414692493,0.7779074567170575,1.0,1.0,0.5056398468660874,False
