year,k65_ret,k65_mdd,k100_ret,k100_mdd,mdd_pp_saved
2010,21.232465009795053,-19.373397834269102,31.815497786155824,-28.43902732635013,9.065629492081026
2011,17.59655136798457,-26.65489682981389,24.669268892231134,-38.606289160998806,11.951392331184916
2012,61.33511769736608,-14.333233319617856,103.3732441485903,-21.40242624978318,7.069192930165324
2013,44.4792460704526,-11.863818274869665,73.57892939071435,-17.75063915149734,5.886820876627674
2014,66.2244051424649,-10.08586563295445,114.68733415821121,-15.219091267024032,5.133225634069582
2015,-2.0956606600501693,-20.261323675437026,-5.444729336092302,-30.607722513016878,10.346398837579851
2016,59.34330593468962,-14.872594730681922,99.58345984171697,-22.31680456163838,7.44420983095646
2017,72.71677069824159,-6.706828705672663,128.98525962532196,-10.26358813024264,3.556759424569977
2018,-7.741972216774506,-22.41258563056978,-14.152566393840093,-33.74743263938951,11.334847008819729
2019,84.00773283877501,-24.190922534649573,145.48763907433116,-34.98362984004909,10.792707305399517
2020,84.41151308049845,-14.770171476524595,144.6871912375522,-22.183537813902767,7.4133663373781715
2021,133.9346186632317,-20.57919563675291,254.8131510514987,-30.36786991925662,9.78867428250371
2022,-9.696848055436735,-29.247739517326423,-19.047150097348155,-43.34754988003412,14.0998103627077
2023,84.38620995167929,-21.9365227815707,140.25748023060757,-32.94063803290383,11.004115251333126
2024,37.964260323836776,-21.183986775143005,54.85772767093662,-31.06041870993862,9.876431934795615
2025,107.4275772741335,-13.339566870950637,190.46207954278464,-20.31209660108202,6.972529730131381
2026,68.57502776112334,-24.266722282472674,112.18916191241868,-35.6974960497356,11.430773767262924
