k,16y_CAGR,16y_MDD,16y_Sharpe,16y_Cal,8y_CAGR,8y_MDD,8y_Cal,4y_CAGR,4y_MDD,4y_Cal,Final
0.55,44.49480153239425,-26.302081635128328,1.5021954718612218,1.6916836526341028,56.22554811660636,-26.302081635128328,2.137684343641953,62.13141901320116,-20.786704269637735,2.9889980733479677,35055586.110302106
0.6,48.919384428710025,-28.602456338073157,1.5034213748715297,1.7103210944716205,61.94260741907487,-28.602456338073157,2.1656394362403812,68.45755939904315,-22.53850992242986,3.037359596293258,56646364.029212266
0.625,51.1512250358851,-29.74311417660739,1.5040317976568651,1.7197669595779899,64.83189209647904,-29.74311417660739,2.1797277753608117,71.65259617102045,-23.405571338876896,3.061347878827668,71771901.93411328
0.65,53.39555473359068,-30.877066534105758,1.5046405597861343,1.7292949339799415,67.74071447481995,-30.877066534105758,2.1938843963689316,74.86754247198955,-24.266722282472674,3.0851938552107114,90737651.76832932
0.675,55.65195164094674,-32.004058089901456,1.5052476796571312,1.7389029692614866,70.66832030631983,-32.004058089901456,2.2081049880552013,78.10130608757262,-25.121951651180186,3.1088868879302836,114464745.3172643
0.7,57.91998263180955,-33.123840803558416,1.505853175303476,1.7485889687522997,73.61393146890258,-33.123840803558416,2.222385136599087,81.35276236155013,-25.97124917241168,3.132416227709533,144081270.7581181
1.0,85.8710908493058,-45.91870989348895,1.5129985400630839,1.8700675835294296,110.05065364566474,-45.91870989348895,2.3966408006874205,121.29865829157525,-35.6974960497356,3.3979598491327145,1923056836.799021
