crisis,period,k65_ret,k65_mdd,k100_ret,k100_mdd,mdd_saved_pp
2018-Q4 selloff,2018-09-21 -> 2019-01-08,-0.395892419367172,-13.34357518272029,-1.40229328532826,-20.11177193632535,6.768196753605061
2020 Covid,2020-02-19 -> 2020-04-30,-5.966760248077019,-13.180324038394442,-9.728507895204308,-20.15056365504655,6.970239616652108
2022 bear,2022-01-03 -> 2022-10-13,-26.89982151220377,-29.247739517326423,-40.698941458182034,-43.34754988003412,14.0998103627077
2024-08 carry,2024-07-10 -> 2024-09-15,-4.437871553058148,-13.175473864792519,-7.348741293573868,-19.75369855675664,6.57822469196412
2025 tariff,2025-02-19 -> 2025-04-30,6.333789725565775,-13.339566870950637,8.789912696381652,-20.01726127991441,6.677694408963774
2026-Q1 DD,2026-01-28 -> 2026-05-22,45.46267067488765,-24.266722282472674,70.05820995751444,-35.6974960497356,11.430773767262924
