n_slots,h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
5,3,3,3,0.049970500475922996,-0.21816218583433877,0.2290520709847858,0.4884032152742976,0.11299896212156177,147456.20189949765
5,3,3,7,0.054294178850423425,-0.21982467099953285,0.24698855958046131,0.5204911249316501,0.11420198022153474,152362.19157323663
5,3,3,14,0.05319435630076841,-0.24931976874396677,0.21335795620521025,0.5094201415035123,0.11476044802947957,151100.9034184449
5,3,3,30,0.08592946526808332,-0.22290269421916376,0.3855021383617518,0.6941050785322547,0.1312641775372635,192814.05360103073
5,3,7,3,0.04643291433022112,-0.22959822598917223,0.20223551000960643,0.4107420152493091,0.13169129943613703,143545.49338281676
5,3,7,7,0.050869036529526346,-0.24259600453285957,0.20968620908443752,0.4400985009447669,0.13289412367992934,148464.2225058268
5,3,7,14,0.04996850188380053,-0.27346746981057635,0.18272192271502122,0.43258574209734735,0.13336711590678788,147453.9664712466
5,3,7,30,0.08352527914524965,-0.23388888699174804,0.35711521064357604,0.6158004632338997,0.14817752599165077,189440.3079495916
5,3,14,3,0.11208596848677477,-0.15309637749583183,0.7321268492445316,0.6638611002058743,0.18545667550235312,233058.3835698819
5,3,14,7,0.11753444060151907,-0.1544969922527143,0.7607555259669087,0.6872165886116206,0.186582212604156,242309.04428668457
5,3,14,14,0.11710329999247704,-0.18284747385910383,0.6404425367271573,0.683956942703985,0.18703199365106202,241565.5155622115
5,3,14,30,0.15049068070658955,-0.1558260641373146,0.9657606481928243,0.8071409301025043,0.19748740501889006,305420.2904062283
5,3,30,3,0.21969250863953382,-0.22903394430130497,0.9592137502138894,0.964048386189094,0.23435376489258464,486332.1978667775
5,3,30,7,0.22606130097650534,-0.22903394430130475,0.9870209486464209,0.9826142575560142,0.2355100487582328,506929.01161614084
5,3,30,14,0.22573358093954243,-0.23972941230482514,0.9416182135069582,0.9797007246528454,0.2360720531672016,505850.8416005225
5,3,30,30,0.2608163666948671,-0.22903394430130486,1.1387673014605684,1.0725124550706997,0.2436968036221463,633333.2599338385
5,7,3,3,0.12369637485927498,-0.38757446664492334,0.3191551185764761,0.6980453817727894,0.19429468569460792,253156.53152902413
5,7,3,7,0.128118774985992,-0.39282605477752597,0.326146327179217,0.714366831548362,0.19576143993023062,261201.21990068123
5,7,3,14,0.12700273215566882,-0.4133044973290555,0.3072861122402804,0.7073080879761545,0.19652304809937213,259150.25142580655
5,7,3,30,0.16176120008716355,-0.3747889507833565,0.4316061072479914,0.8307014768947774,0.20629053308188255,330078.5484548846
5,7,7,3,0.11954576143697526,-0.4069668429719946,0.2937481603266677,0.6452529911251881,0.2090317849171661,245804.200421811
5,7,7,7,0.1241160356598705,-0.4137580612326561,0.2999724894546044,0.6616365336394037,0.2104805140433644,253910.50645233976
5,7,7,14,0.1232125395408954,-0.4340712399698926,0.28385326691867785,0.6562850800003707,0.211197581266171,252289.68915845617
5,7,7,30,0.1588688812956507,-0.3817385914952901,0.4161719166861096,0.7792775419483389,0.22059779383760256,323590.1518361627
5,7,14,3,0.1896613539342975,-0.29311081778880355,0.6470636442731195,0.8245359629292865,0.24752167934068692,398751.5256981614
5,7,14,7,0.19527763912764629,-0.2933225209382445,0.6657437639053961,0.8403401382220737,0.24888185949666664,413993.0834783117
5,7,14,14,0.19485339150318626,-0.3142616943621419,0.6200354513415353,0.8374370185530126,0.24950424691213274,412824.2288997727
5,7,14,30,0.23042912173451646,-0.29285727925946825,0.7868307809086721,0.93393962029177,0.2572752856821757,521491.83315509045
5,7,30,3,0.3048505261414367,-0.2777840582114861,1.0974370815381493,1.072532026919326,0.2863069413893957,832478.5927638907
5,7,30,7,0.3113973981813998,-0.27751452203198246,1.122094065209,1.0859041141058212,0.28778482506980585,866331.5575675748
5,7,30,14,0.311075165575609,-0.2819037119047798,1.1034802041935603,1.083021934829754,0.28851331769220095,864637.6050948608
5,7,30,30,0.34845211744505833,-0.2771090770641572,1.2574547219338597,1.1624538255967225,0.2945316133739908,1081591.1440599784
5,14,3,3,0.31888135259356254,-0.3993788173312328,0.7984433293794145,1.1053344279917043,0.2883094750740584,906499.2594794562
5,14,3,7,0.32207080519814535,-0.40677529222603726,0.7917658996337879,1.109642238297985,0.2897376521013083,924106.4779592131
5,14,3,14,0.31899636162503353,-0.429523627281169,0.742674771220947,1.097068381165304,0.2913424505880717,907129.0252430148
5,14,3,30,0.36524465343581647,-0.3772941559386985,0.9680633735953232,1.1945237195760674,0.29815136784139784,1193634.7552322012
5,14,7,3,0.31452130565909453,-0.4183983636380938,0.7517269019033477,1.063263909236221,0.2997308625774798,882904.7462295854
5,14,7,7,0.3180253080605424,-0.4271188895588266,0.7445826345658288,1.0683984834431028,0.30119180833597464,901823.7369907884
5,14,7,14,0.315335812765569,-0.4495359261034908,0.7014696589410594,1.0576236102366574,0.302756789944087,887271.2294559681
5,14,7,30,0.3622834806520723,-0.38537040518428123,0.9400915996100714,1.1550685046950735,0.3093837103018866,1173170.3161462694
5,14,14,3,0.39054242586658705,-0.3349479000613975,1.1659796218904457,1.1606866297035578,0.3314032658549321,1381585.3792579747
5,14,14,7,0.39474853321311865,-0.3355588349621531,1.1763914165980502,1.1662452784555584,0.3328163782970437,1415221.4409025994
5,14,14,14,0.3923299038521173,-0.3471057596624836,1.1302892358617398,1.157532107542621,0.33420706599691036,1395793.357828689
5,14,14,30,0.4397867347385567,-0.33458284654586323,1.314433000014161,1.2422397307704605,0.34003088045154467,1822851.061887213
5,14,30,3,0.5218990712660678,-0.3221866379708921,1.6198656609502804,1.345223091076776,0.36085839120439656,2835275.909649857
5,14,30,7,0.5265883965277107,-0.32308632126717074,1.6298690531446467,1.3495952387890344,0.3623722096778156,2905605.2611396043
5,14,30,14,0.5238331297431087,-0.3237086343775315,1.6182241500922652,1.3408949948905629,0.36372669274643216,2864099.961998084
5,14,30,30,0.5745505546374896,-0.321723719326906,1.7858507785485478,1.41727277894987,0.368529376621493,3717368.92352393
5,30,3,3,0.6398739030532952,-0.4170532015328242,1.5342740463363493,1.307062290952207,0.46116845889593183,5138520.457390823
5,30,3,7,0.6430649823077856,-0.4170532015328242,1.5419255383828365,1.3102115450760201,0.4617505051858655,5218699.887633749
5,30,3,14,0.6391577173835983,-0.4170532015328242,1.5325567937962306,1.30294421761325,0.462869904996498,5120674.2325925995
5,30,3,30,0.6953963782317356,-0.4170532015328242,1.6674044838305944,1.359312551796619,0.4714960144039684,6698996.831123123
5,30,7,3,0.6375768571191573,-0.4317628251130665,1.4766830769930086,1.287245634395673,0.47051112957640834,5081473.406704998
5,30,7,7,0.6412923166858471,-0.4317628251130665,1.4852884023026083,1.2910728085536927,0.471084468760425,5174025.691259422
5,30,7,14,0.6379512035111496,-0.4317628251130665,1.477550095574088,1.28479278707596,0.472177302946614,5090732.33757835
5,30,7,30,0.6954734885129743,-0.4317628251130665,1.6107766765951872,1.3425555623428587,0.48060228634870555,6701423.84963312
5,30,14,3,0.7313216462823711,-0.40348930262648064,1.8124932718708837,1.365397847328945,0.49170801481626314,7916582.025459949
5,30,14,7,0.7354862769902653,-0.40348930262648064,1.8228148112048508,1.3691773894513815,0.4923330834895259,8069525.126150338
5,30,14,14,0.7321728781624584,-0.40348930262648064,1.814602948322146,1.363446320106228,0.49334328444619174,7947635.1261546165
5,30,14,30,0.7908415817098082,-0.40348930262648064,1.9600063163060075,1.4161875253835015,0.5013450997703397,10362165.681525312
5,30,30,3,0.8894406187142034,-0.4254118601328357,2.0907753216764426,1.4887245182497362,0.5191379092348771,15879276.471053444
5,30,30,7,0.8938080217594666,-0.42559339919848416,2.1001454050809207,1.4917582165842262,0.5198925480839768,16173970.86560822
5,30,30,14,0.8898601034198679,-0.42583575156395004,2.0896791783022306,1.4858133672921257,0.5208965305204426,15907376.247389
5,30,30,30,0.9524299733269699,-0.4279880614614814,2.225365749863768,1.5343170338898857,0.5282130741945366,20618712.851522516
7,3,3,3,0.04586092254828089,-0.21857282562024805,0.2098198731619108,0.5092101988459657,0.09754179797005623,142921.76583245624
7,3,3,7,0.0501433205956634,-0.22626090303258273,0.22161725655467088,0.5423854664068664,0.099474589112127,147649.6135682454
7,3,3,14,0.05112624842768243,-0.24208042267649565,0.21119530386810761,0.5468927137024002,0.10057279807310719,148753.88211376575
7,3,3,30,0.08014105365420399,-0.19692674116263875,0.40695871561707675,0.7103401657411924,0.11853835503622609,184778.80083250234
7,3,7,3,0.05385004760038825,-0.23154393475348722,0.2325694588274126,0.4980743291789382,0.11993326825100536,151851.75330552732
7,3,7,7,0.058072660078617666,-0.24081194708203224,0.24115356726398338,0.5255925361374686,0.12167733004481097,156765.82207641273
7,3,7,14,0.0597897996651755,-0.2560573442377666,0.23350160036673903,0.5346375093627115,0.1229479669068663,158803.56913774033
7,3,7,30,0.08859387744382441,-0.18751538167218418,0.4724619210103249,0.685626581152794,0.13781906062818694,196614.23881633038
7,3,14,3,0.12249419694928299,-0.1375118902667023,0.890789856147765,0.7508993571220544,0.1736418183148395,251007.48954031395
7,3,14,7,0.12735496007672875,-0.1367502809845802,0.9312957835244898,0.7709793354786942,0.17505504351077125,259796.01958226203
7,3,14,14,0.12970110143598101,-0.137942886790259,0.9402521902647321,0.7789303492993754,0.1762004546921886,264133.40837591473
