h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
3,3,3,0.39920752182232877,-0.22069741615472938,1.8088454716771456,1.5155903722451822,0.24142083096614236,1451659.6437155649
3,3,7,0.4025666462237605,-0.19281871650549276,2.087798599221008,1.4765022674412571,0.25104566282088675,1479649.136949545
3,3,14,0.18253466354558312,-0.21567951554428177,0.8463235976997844,1.0637628197439968,0.1718259651786146,380118.8829044035
3,3,30,0.0709470796528806,-0.23492188675851355,0.30200285138102184,0.6428727319921117,0.11745912152697498,172617.40457433375
3,7,3,0.5187191407416769,-0.2671928391861197,1.9413661770342223,1.473378800408347,0.3184367028599573,2788435.3189891214
3,7,7,0.523376752498548,-0.273512660902532,1.9135375699666666,1.4553462537755102,0.3262101941656405,2857275.391121341
3,7,14,0.24511779308744264,-0.2512158690235733,0.9757257534731676,1.1863928800897685,0.20247698522235838,573184.9506292082
3,7,30,0.07925633638509422,-0.22733172904959287,0.3486373711071554,0.6266322010521067,0.1367972013964226,183576.83745951706
3,14,3,0.32129905874030773,-0.2718889028071292,1.1817292115383937,1.2190773372690902,0.2554529071628181,919818.8926277711
3,14,7,0.32114502708115134,-0.27273497934195945,1.1774984926979044,1.2044726339042169,0.2592599463437037,918965.2258169365
3,14,14,0.32225827803725404,-0.27492888877798405,1.172151386017096,1.1850792902139242,0.2656108036055024,925150.6537222763
3,14,30,0.14834110356650587,-0.14832494610410418,1.0001089328722246,0.835657933794507,0.18591548912034422,300904.8820227214
3,30,3,0.20500125410166925,-0.22903394430130475,0.8950693082942353,0.9555221999565133,0.22048203408320147,441588.2198265874
3,30,7,0.21046986086970798,-0.22903394430130497,0.9189461479684642,0.9720425687265005,0.22167396840986922,457803.74524399976
3,30,14,0.21244515931606456,-0.22903394430130475,0.9275706269834969,0.9762869260310594,0.2225915763470135,463787.5913142188
3,30,30,0.24329115591021777,-0.22903394430130486,1.0622493388585095,1.0578936764079199,0.23098911460317223,566521.912047248
7,3,3,0.809944400640372,-0.37047540947614677,2.1862298547308052,1.5679868163531003,0.4418749446503795,11275895.333159413
7,3,7,0.8180351473974492,-0.3815382083322614,2.1440451559836067,1.5597712108218842,0.4491821612752286,11683646.818954982
7,3,14,0.2987718580422123,-0.43313304445924883,0.6897923440942224,1.0463628019660156,0.29090325446157206,802088.1292541656
7,3,30,0.15788188712178242,-0.30562911183990704,0.5165800017260241,0.8906076065931662,0.183775993135888,321401.6780794212
7,7,3,0.9558591188192156,-0.3248221955249312,2.9427149129217995,1.6043703152344855,0.4958532524392585,20908903.069996
7,7,7,0.9654915681627236,-0.32526327410006806,2.968338712183312,1.5994802218835902,0.5025674845054443,21743238.839751594
7,7,14,0.36620828289880003,-0.3721052624799889,0.9841523886496876,1.1522210692133743,0.314381853191271,1200361.3017624153
7,7,30,0.1700389137648055,-0.30927228195345735,0.5498032759055815,0.8906409079134033,0.19875106942302717,349281.0777470089
7,14,3,0.4613324358005706,-0.3120503180881051,1.4783911730233095,1.2573790346890483,0.35116433032474015,2051768.8636942857
7,14,7,0.4644843214902785,-0.3150046909670069,1.4745314428950136,1.25217176694438,0.3556076889834724,2087280.1919956433
7,14,14,0.45853832162707686,-0.31107628598897985,1.474038177385598,1.227001117243248,0.3611830199459287,2020731.354833279
7,14,30,0.24426807710535003,-0.20784677342718283,1.1752315086619667,1.0428018018842349,0.2362788444462484,570076.9596842384
7,30,3,0.3026924521522303,-0.22903394430130475,1.3216052016902105,1.1322893275516337,0.2644758435892877,821575.944882797
7,30,7,0.30719783991480165,-0.22903394430130486,1.3412764682193505,1.1403705301732405,0.26598590711312153,844480.7319678436
7,30,14,0.3095205831073711,-0.23502511257968406,1.3169681303840657,1.1433151723388266,0.26711968579783024,856505.9090959753
7,30,30,0.3429785889360344,-0.2377346252498279,1.4426951420122704,1.2121622117155206,0.27441430570999825,1047115.2087759639
14,3,3,0.8021111607753071,-0.450491606088095,1.7805240984189432,1.6073321106504812,0.42331142855117326,10893032.951977566
14,3,7,0.7931185697910059,-0.44168406222272905,1.7956694334853727,1.5857193553165763,0.42694014358663346,10467563.362227205
14,3,14,0.7894681190959141,-0.4770177903364108,1.6550077063984379,1.5643065338181916,0.43320369206565956,10299040.290566215
14,3,30,0.2724145402277147,-0.3932755344967439,0.6926811264176672,1.0349193256666251,0.2678280089320947,681247.6824611956
14,7,3,0.9005466854295077,-0.38793822951451595,2.3213661787251385,1.6744338271771602,0.4434112105233955,16638051.931333901
14,7,7,0.8885998259980616,-0.38254220053346455,2.322880520786693,1.6515494006552096,0.4466438655815441,15823085.439308055
14,7,14,0.8832167667001509,-0.42362022549890643,2.0849258688250023,1.6295196124612021,0.4525662467219479,15467432.471537339
14,7,30,0.27756191590292945,-0.40896190344181793,0.6786987090165907,1.0181457806335872,0.2793282841737084,703508.4254907395
14,14,3,1.0052273619175125,-0.3197279288489513,3.1440086123737125,1.6927272640684332,0.48021876914786127,25500832.029279467
14,14,7,0.9998351974342887,-0.3211490954753824,3.113305351068413,1.6776814169690626,0.4840722062101877,24959774.545118354
14,14,14,0.9964578857084514,-0.3177072542739314,3.136402686132222,1.6608536137590462,0.48956839974452393,24626026.91128927
14,14,30,0.35303091584959123,-0.3234608396409554,1.0914177933918026,1.1302674271252793,0.3102106350058315,1111189.8048685633
14,30,3,0.42236948243981676,-0.3370888409230599,1.2529915890518073,1.2299363863307875,0.33139622812833003,1654448.9785007583
14,30,7,0.4261918947459751,-0.33748198268826624,1.262858216462627,1.2341156514360048,0.33283728462299267,1690192.6169688446
14,30,14,0.4256215336649314,-0.33845073444806706,1.2575583101009347,1.2291924150411269,0.3342090235117713,1684816.646453651
14,30,30,0.46940794993976276,-0.3371982193101165,1.3920831222066887,1.3013234573129286,0.3406357697559355,2143828.9909943496
30,3,3,0.431880938255351,-0.46396829954418506,0.9308414792123567,1.1237070638232711,0.38777085967222746,1744641.5567249293
30,3,7,0.4351820644304061,-0.4640742944225107,0.9377422314932186,1.127683616614528,0.38879205839367365,1776934.1882288232
30,3,14,0.4337157292809115,-0.46243433655688304,0.9378968969090838,1.123158181764697,0.3897651268452772,1762526.100362362
30,3,30,0.4785766838988954,-0.45350324225193295,1.0552883404371198,1.1857775368404093,0.39791703261208866,2252712.3218264026
30,7,3,0.43758404494059144,-0.46946761357398437,0.9320856908729694,1.1175089287508533,0.39661547079749293,1800758.4480037177
30,7,7,0.44120303470889977,-0.46959684370873467,0.9395357754630778,1.1217444965987864,0.3977590143083352,1837181.1794570927
30,7,14,0.4407182526103439,-0.46796983085669486,0.9417663779811136,1.118973207943706,0.39879067306295973,1832265.1074530345
30,7,30,0.48567147690275725,-0.45910923417827165,1.0578560411053974,1.180605995781774,0.4067627996239353,2340255.0868761945
30,14,3,0.5244872658761341,-0.4389933629252023,1.1947498759007404,1.2181990085804817,0.41944891170327336,2873906.6340238
30,14,7,0.5284809378421469,-0.43948276167926514,1.2025066371723419,1.2222019711809033,0.420610305835882,2934418.2907103794
30,14,14,0.5284243705272051,-0.4380575439721468,1.206289853464558,1.2200912213517312,0.42164747967891353,2933553.471979133
30,14,30,0.5739135063244525,-0.44368407291737133,1.293518386970213,1.2745747705610924,0.4291995470224863,3705407.217646673
30,30,3,0.6548047760383893,-0.45478015370000924,1.4398270696533606,1.3512905228098553,0.4482660441029792,5523170.846232093
30,30,7,0.6589739816275317,-0.4553179305935121,1.4472831780829531,1.3548488733824775,0.44927785860770936,5634975.802795046
30,30,14,0.658170430590943,-0.4547293205747168,1.447389470639597,1.3520201313577547,0.4501232016780829,5613274.439240253
30,30,30,0.7073703083540066,-0.4592042393288587,1.5404263457755756,1.4024930571695138,0.45707363103204296,7085210.781546294
