n_slots,hold_days,cagr,mdd,calmar,sharpe,vol,final
1,3,1.0904500471914313,-0.5170259449739647,2.109081870632898,1.616775954255572,0.5509428677990821,35523877.17501301
1,5,0.9036450822414273,-0.4148562277365032,2.178212647720885,1.4762343258117803,0.5330612999715914,16855312.499981526
1,7,0.9508619229496742,-0.36791238936650894,2.584479214159976,1.5289895476644337,0.5296109420613293,20487194.8315119
1,10,0.9942308744633586,-0.45576459464356067,2.181457020023496,1.591948392311641,0.5193893550724538,24408093.596661087
1,14,1.0259132693252155,-0.41760194548681107,2.4566774183230344,1.6078830625779688,0.5259162911319596,27672826.754564017
1,21,0.8474126655863463,-0.39262078564125424,2.1583489631153783,1.5024760574118952,0.48892456530058126,13274671.267385945
1,30,0.8674422563868773,-0.5144613572697377,1.6861174199563211,1.4946480245351905,0.5038815365154694,14465158.88092354
1,45,0.820719355802684,-0.527354114927715,1.5562964857402901,1.46427923825695,0.4944087690823709,11821742.3104023
1,60,1.2359259014222794,-0.37697058390107385,3.278573857493921,1.9266948684495302,0.478230052999402,60704564.30613154
2,3,1.162869698450625,-0.40338468718513976,2.8827809666381996,1.7096627555289703,0.5364783245684362,46592759.15458213
2,5,0.9555269161898163,-0.37872623919735704,2.523001623058613,1.5480768637517848,0.5228161793938003,20880635.180256106
2,7,0.9950029305329595,-0.34760472130008346,2.8624551669250318,1.5840332928633327,0.5233882435084924,24483454.535170652
2,10,1.036888318230555,-0.36505275333949816,2.840379393786551,1.6511458275840871,0.5112453700892988,28889562.15943975
2,14,0.9896511868108764,-0.3575874399023661,2.767578153978467,1.579424527976835,0.5229960077935489,23965223.04372275
2,21,0.795428520383165,-0.38518127756663056,2.065075762270319,1.4587112748120725,0.48158081280912063,10575443.52432564
2,30,0.8157491165615738,-0.497439560204064,1.6398959427893713,1.449592066070407,0.4983566220393379,11567150.89725319
2,45,0.7687039012260835,-0.5281081891731831,1.4555803469542516,1.4178387396868601,0.48780609317642787,9384832.23508754
2,60,1.119730835502259,-0.4049901188009165,2.7648349515724653,1.8164163668631206,0.47777417138810657,39685580.472219266
3,3,1.0879185326738843,-0.39323642621265154,2.766576187134728,1.6513006210490737,0.5330013394883025,35182697.107640386
3,5,0.9309574825250246,-0.4111582311572244,2.264231655790523,1.5378919968690337,0.5156511664829753,18880367.793227028
